PDF_Fname,Title,Question,Short Answer,Long Answer,page,Chart Type
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,文件中「每股盈餘」的數據出現在簡報的哪一頁？,第 5 頁和第57頁,第 5 頁和第57頁,"5, 57",長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,SME 放款的佔比數據顯示在哪裡？,第 15 頁,顯示在第 15 頁圖表的左下方藍框內，位於綠色 SME 放款長條圖的下方，標示「佔全行放款」的百分比。,15,長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,海外獲利占全行稅前盈餘的數據出現在第幾頁？,第 16 頁,出現在第 16 頁圖表的右側，以藍色長條圖呈現「海外獲利占全行稅前盈餘」的數據（如 10.7%、19.2%）。,16,長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,財富管理手續費淨收益在第幾頁的哪個圖表中？,第 17 頁,出現在第 17 頁的左側與右側兩個圖表中，皆以綠色長條圖標示「財富管理」項目。,17,堆疊長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,投資型商品及利變型年金的總保費收入在第幾頁可以看到？,第 20 頁,第 20 頁左側與右側圖表中，黃色區塊代表「投資型商品及利變型年金」。,20,堆疊長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,FY24 的損益兩平資產ㄌ報酬率是出現在第幾頁？,第 23 頁,為 2.83%，在第 23 頁右下角綠色折線圖。,23,折線圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,外幣資產避險結構圖位於第幾頁？,第 26 頁,第 26 頁的右下角。,26,圓餅圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,1Q25 的費用率資訊位於哪一頁哪一區？,第 30 頁,位於第 30 頁的右下區塊，以綠色長條圖呈現。,30,群組長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,1Q25 各保險項目的保費收入比例在哪一頁、哪個區塊？,第 32 頁,位於第 32 頁左側的長條圖，圖示以不同顏色區分項目）。,32,堆疊長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,有效契約價值變動的各項構成項目出現在報告的哪一頁？,第 41 頁,第 41 頁,41,瀑布圖
